timestamp	idea_id	idea_name	archetype	timeframe	param_count	params_json	gross_pf	net_pf	win_rate	total_trades	sharpe	sortino	max_dd	max_dd_duration_days	expectancy_gross	expectancy_net	avg_duration_hours	strategy_pnl_gross	strategy_pnl_net	buy_hold_pnl	total_costs	verdict	reason	regime_pass	data_bars	data_period	cost_pct
2026-02-22T14:34:03.816590	R027	Volatility Breakout with Momentum Confirmation (VBMC)	dual_momentum_consensus	4H	6	"{""channel_period"":20,""roc_fast"":5,""roc_med"":15,""roc_slow"":30,""stop_pct"":2.0,""target_pct"":6.0}"	1.37	1.28	0.349	126	1.2	99.0	22092.37	250.0	343.98	276.44	71.3	43341.36	34832.07	43378.31	8509.29	promote	Gross PF 1.37 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:34:06.296797	R028	Trend Acceleration Breakout (TAB)	acceleration_breakout	4H	5	"{""channel_period"":10,""roc_short"":5,""roc_long"":20,""stop_pct"":3.0,""target_pct"":6.0}"	1.08	1.03	0.352	105	0.13	1.93	24934.6	401.0	106.16	38.2	93.0	11146.32	4011.34	43378.31	7134.97	kill	Gross PF 1.08 — positive expectancy but below 1.3 threshold.		6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:34:21.065369	R029	High ATR Regime Trend Following (HARTF)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.31	1.26	0.306	72	0.84	7.41	36037.54	245.0	486.21	422.45	215.4	35007.39	30416.65	43378.31	4590.74	promote	Gross PF 1.31 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:36:24.250105	R030	Volatility Breakout with Momentum Confirmation (VBMC)	adaptive_momentum_burst	4H	9	"{""bb_period"":20,""bb_std"":2.0,""squeeze_lookback"":50,""squeeze_pct"":20,""min_squeeze_bars"":3,""ma_period"":50,""ma_slope_bars"":5,""stop_pct"":2.0,""target_pct"":8.0}"	1.3	1.23	0.265	34	0.42	99.0	13061.23	284.0	342.12	267.4	90.1	11632.12	9091.59	43378.31	2540.53	park	Gross PF 1.30 passes threshold but regime coverage failed: Insufficient trade coverage in: sideways. Strategy may only work in specific market conditions.	False	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:36:59.650460	R031	Acceleration Surge After Consolidation (ASAC)	acceleration_breakout	4H	5	"{""channel_period"":10,""roc_short"":5,""roc_long"":20,""stop_pct"":3.0,""target_pct"":6.0}"	1.08	1.03	0.352	105	0.13	1.93	24934.6	401.0	106.16	38.2	93.0	11146.32	4011.34	43378.31	7134.97	kill	Gross PF 1.08 — positive expectancy but below 1.3 threshold.		6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:37:06.454994	R032	Multi-Bar Persistence Breakout (MBPB)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.42	1.34	0.215	79	0.83	99.0	14457.22	252.0	467.81	398.27	112.9	36956.6	31463.51	43378.31	5493.09	park	Gross PF 1.42 passes threshold but regime coverage failed: Insufficient trade coverage in: sideways. Strategy may only work in specific market conditions.	False	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:39:43.263346	R033	Multi-Day Consolidation Breakout (MDCB)	range_compression_expansion	4H	7	"{""atr_period"":20,""atr_lookback"":60,""compression_percentile"":10,""breakout_atr_mult"":1.5,""confirmation_bars"":2,""stop_pct"":2.0,""target_pct"":6.0,""long_only"":true}"	2.49	2.33	0.438	48	1.44	99.0	11139.29	223.0	1105.43	1037.65	97.8	53060.76	49807.03	43378.31	3253.73	promote	Gross PF 2.49 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:42:02.612635	R034	Momentum Divergence Acceleration (MDA)	acceleration_breakout	4H	5	"{""channel_period"":10,""roc_short"":5,""roc_long"":20,""stop_pct"":3.0,""target_pct"":6.0}"	1.08	1.03	0.352	105	0.13	1.93	24934.6	401.0	106.16	38.2	93.0	11146.32	4011.34	43378.31	7134.97	kill	Gross PF 1.08 — positive expectancy but below 1.3 threshold.		6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:42:11.957984	R035	Trending Strength Continuation (TSC)	trend_strength_breakout	4H	5	"{""channel_period"":20,""adx_period"":14,""adx_threshold"":25,""stop_pct"":2.0,""target_pct"":6.0}"	1.56	1.46	0.369	103	1.3	99.0	13832.39	246.0	512.66	443.16	76.5	52803.68	45645.66	43378.31	7158.02	promote	Gross PF 1.56 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:42:19.121654	R036	Momentum Surge After Consolidation (MSAC)	consecutive_momentum	4H	4	"{""channel_period"":20,""consec_bars"":3,""stop_pct"":2.0,""target_pct"":12.0}"	1.42	1.34	0.215	79	0.83	99.0	14457.22	252.0	467.81	398.27	112.9	36956.6	31463.51	43378.31	5493.09	park	Gross PF 1.42 passes threshold but regime coverage failed: Insufficient trade coverage in: sideways. Strategy may only work in specific market conditions.	False	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:42:21.523400	R037	Acceleration Breakout With Volume Confirmation (ABVC)	volume_breakout	4H	5	"{""channel_period"":15,""vol_period"":20,""vol_mult"":1.5,""stop_pct"":2.0,""target_pct"":6.0}"	1.32	1.24	0.333	129	1.0	99.0	20077.28	205.0	295.93	229.53	66.9	38175.04	29609.68	43378.31	8565.36	promote	Gross PF 1.32 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
2026-02-22T14:42:39.599965	R038	Adaptive Volatility Regime Trend (AVRT)	atr_regime_adaptive	4H	6	"{""ma_period"":20,""atr_period"":14,""atr_history"":120,""base_stop_pct"":3.0,""base_target_pct"":12.0,""trend_filter_period"":80}"	1.31	1.26	0.306	72	0.84	7.41	36037.54	245.0	486.21	422.45	215.4	35007.39	30416.65	43378.31	4590.74	promote	Gross PF 1.31 >= 1.3 threshold. Regime coverage OK. Promote to full hypothesis.	True	6571	2023-02-23 → 2026-02-22	0.1
